time;P
20230202:1010;6779.6
20230202:1110;7058.8
20230202:1210;6909.8
20230202:1310;6409.5
20230202:1410;5338.5
20230202:1510;3606.3
20230202:1610;24.1
20230202:1710;0.0
20230202:1810;0.0
20230202:1910;0.0
20230202:2010;0.0
20230202:2110;0.0
20230202:2210;0.0
20230202:2310;0.0
20230203:0010;0.0
20230203:0110;0.0
20230203:0210;0.0
20230203:0310;0.0
20230203:0410;0.0
20230203:0510;0.0
20230203:0610;0.0
20230203:0710;25.9
20230203:0810;548.4000000000001
20230203:0910;5390.299999999999
20230203:1010;6617.7
20230203:1110;6856.0
20230203:1210;7059.6
20230203:1310;6463.3
20230203:1410;5073.3
20230203:1510;3139.8
20230203:1610;15.4
20230203:1710;0.0
20230203:1810;0.0
20230203:1910;0.0
20230203:2010;0.0
20230203:2110;0.0
20230203:2210;0.0
20230203:2310;0.0
20230204:0010;0.0
20230204:0110;0.0
20230204:0210;0.0
20230204:0310;0.0
20230204:0410;0.0
20230204:0510;0.0
20230204:0610;0.0
20230204:0710;45.7
20230204:0810;3375.4
20230204:0910;5359.299999999999
20230204:1010;6419.8
20230204:1110;6675.5
20230204:1210;6742.4
20230204:1310;6230.599999999999
20230204:1410;5248.099999999999
20230204:1510;3639.2000000000003
20230204:1610;42.0
20230204:1710;0.0
20230204:1810;0.0
20230204:1910;0.0
20230204:2010;0.0
20230204:2110;0.0
20230204:2210;0.0
20230204:2310;0.0
20230205:0010;0.0
20230205:0110;0.0
20230205:0210;0.0
20230205:0310;0.0
20230205:0410;0.0
20230205:0510;0.0
20230205:0610;0.0
20230205:0710;50.7
20230205:0810;3575.7999999999997
20230205:0910;5732.9
20230205:1010;6636.0
20230205:1110;7083.6
20230205:1210;6054.700000000001
20230205:1310;6566.900000000001
20230205:1410;5446.3
20230205:1510;3752.5
20230205:1610;59.2
20230205:1710;0.0
20230205:1810;0.0
20230205:1910;0.0
20230205:2010;0.0
20230205:2110;0.0
20230205:2210;0.0
20230205:2310;0.0
20230206:0010;0.0
20230206:0110;0.0
20230206:0210;0.0
20230206:0310;0.0
20230206:0410;0.0
20230206:0510;0.0
20230206:0610;0.0
20230206:0710;0.0
20230206:0810;2177.7000000000003
20230206:0910;1500.0
20230206:1010;1278.9
20230206:1110;2218.8999999999996
20230206:1210;3302.7
20230206:1310;6820.8
20230206:1410;2384.1
20230206:1510;790.1999999999999
20230206:1610;0.0
20230206:1710;0.0
20230206:1810;0.0
20230206:1910;0.0
20230206:2010;0.0
20230206:2110;0.0
20230206:2210;0.0
20230206:2310;0.0
20230207:0010;0.0
20230207:0110;0.0
20230207:0210;0.0
20230207:0310;0.0
20230207:0410;0.0
20230207:0510;0.0
20230207:0610;0.0
20230207:0710;56.5
20230207:0810;3845.2999999999997
20230207:0910;5851.5
20230207:1010;6935.299999999999
20230207:1110;7514.9
20230207:1210;7397.1
20230207:1310;6790.900000000001
20230207:1410;5625.1
20230207:1510;3947.2000000000003
20230207:1610;82.2
20230207:1710;0.0
20230207:1810;0.0
20230207:1910;0.0
20230207:2010;0.0
20230207:2110;0.0
20230207:2210;0.0
20230207:2310;0.0
20230208:0010;0.0
20230208:0110;0.0
20230208:0210;0.0
20230208:0310;0.0
20230208:0410;0.0
20230208:0510;0.0
20230208:0610;0.0
20230208:0710;68.7
20230208:0810;3885.2999999999997
20230208:0910;5793.8
20230208:1010;7174.700000000001
20230208:1110;7778.3
20230208:1210;7603.6
20230208:1310;7188.3
20230208:1410;5899.400000000001
20230208:1510;4036.6000000000004
20230208:1610;94.7
20230208:1710;0.0
20230208:1810;0.0
20230208:1910;0.0
20230208:2010;0.0
20230208:2110;0.0
20230208:2210;0.0
20230208:2310;0.0
20230209:0010;0.0
20230209:0110;0.0
20230209:0210;0.0
20230209:0310;0.0
20230209:0410;0.0
20230209:0510;0.0
20230209:0610;0.0
20230209:0710;74.4
20230209:0810;3124.9
20230209:0910;5958.400000000001
20230209:1010;7203.9
20230209:1110;7918.8
20230209:1210;7846.599999999999
20230209:1310;7280.0
20230209:1410;5992.200000000001
20230209:1510;4075.1
20230209:1610;100.8
20230209:1710;0.0
20230209:1810;0.0
20230209:1910;0.0
20230209:2010;0.0
20230209:2110;0.0
20230209:2210;0.0
20230209:2310;0.0
20230210:0010;0.0
20230210:0110;0.0
20230210:0210;0.0
20230210:0310;0.0
20230210:0410;0.0
20230210:0510;0.0
20230210:0610;0.0
20230210:0710;80.5
20230210:0810;3969.7000000000003
20230210:0910;5905.299999999999
20230210:1010;7131.599999999999
20230210:1110;7688.3
20230210:1210;7623.400000000001
20230210:1310;7066.7
20230210:1410;5966.2
20230210:1510;4154.8
20230210:1610;117.2
20230210:1710;0.0
20230210:1810;0.0
20230210:1910;0.0
